# Vendor or product	Default role name	Default user name	Account id	Default external id	Source
datadog	DatadogAWSIntegrationRole		464622532012		http://docs.datadoghq.com/integrations/aws/
dome9	Dome9-Connect	Dome9Connect	634729597623		http://support.dome9.com/knowledgebase/articles/796419-convert-dome9-aws-account-connection-from-iam-user
stackdriver	Stackdriver		314658760392		https://support.stackdriver.com/customer/portal/articles/1491790-setting-up-stackdriver-for-your-aws-account
skeddly			478299826944		http://thecloudmarket.com/owner/478299826944
freshservice	freshservice		618708667954		https://support.freshservice.com/support/solutions/articles/207515-creating-a-role-arn-for-integrating-amazon-web-services-aws-in-freshservice
newrelic	NewRelic-Infrastructure-AWS-Integration		017663287629		https://docs.newrelic.com/docs/infrastructure/new-relic-infrastructure/data-instrumentation/amazon-aws-ec2-integration-infrastructure
signalfx			134183635603		https://signalfx-product-docs.readthedocs-hosted.com/en/latest/getting-started/send-data.html
cloudsploit	CloudSploitRole		057012691312		https://cloudsploit.freshdesk.com/support/solutions/articles/17000008755-connecting-an-aws-account-to-cloudsploit
globus	globus		328067584297		https://docs.globus.org/how-to/amazon-aws-s3-endpoints/
cloudability					
cloudmgr		CloudMGR			http://support.cloudmgr.com/hc/en-us/articles/203651327-Link-your-AWS-Account
cloudcheckr		CloudCheckr			http://support.cloudcheckr.com/getting-started-with-cloudcheckr/adding-credentials-in-cloudcheckr/creating-an-aws-user-group-and-policy/
mongodb	myMMSRole				http://blog.cloud.mongodb.com/post/103214737505/mms-create-aws-role-for-cross-account-access
alertlogic	Alert_Logic_Cloud_Defender		733251395267		https://docs.alertlogic.com/requirements/cloud/amazon-web-services-cloud-defender-cross-account-role-config.htm
threatstack	ThreatStackRole				https://threatstack.zendesk.com/hc/en-us/articles/209961206-Adding-an-IAM-Role-for-Threat-Stack-integration
dynatrace	roleWatch	keyWatch	509560245411	give-ruxit-access	https://help.dynatrace.com/monitor-cloud-virtualization-and-hosts/cloud/how-do-i-start-amazon-web-services-monitoring/
